lat,cdf
4,2.0444620613469e-08
4.05,4.0889241226937e-08
4.075,6.1333861840406e-08
4.087,8.1778482453875e-08
4.088,1.0222310306734e-07
4.1,1.6355696490775e-07
4.113,1.8400158552122e-07
4.125,2.0444620613469e-07
4.138,2.8622468858856e-07
4.15,3.0666930920203e-07
4.162,3.271139298155e-07
4.163,3.4755855042897e-07
4.187,3.6800317104244e-07
4.2,4.7022627410978e-07
4.237,4.9067089472325e-07
4.238,5.1111551533672e-07
4.275,5.3156013595018e-07
4.325,5.5200475656365e-07
4.337,5.7244937717712e-07
4.35,5.9289399779059e-07
4.362,6.1333861840406e-07
4.388,6.54227859631e-07
4.413,6.7467248024447e-07
4.425,7.155617214714e-07
4.45,7.3600634208487e-07
4.462,7.9734020392528e-07
4.463,8.3822944515221e-07
4.475,8.7911868637915e-07
4.487,9.2000792760609e-07
4.525,9.4045254821956e-07
4.537,9.6089716883303e-07
4.538,1.00178641006e-06
4.55,1.0222310306734e-06
4.562,1.0631202719004e-06
4.563,1.1857879955812e-06
4.575,1.2880110986485e-06
4.587,1.308455719262e-06
4.588,1.3697895811024e-06
4.6,1.4720126841697e-06
4.612,1.5129019253967e-06
4.613,1.5742357872371e-06
4.625,1.6355696490775e-06
4.637,1.6969035109179e-06
4.638,1.7582373727583e-06
4.65,1.8604604758256e-06
4.662,1.9217943376661e-06
4.663,1.962683578893e-06
4.675,2.0240174407334e-06
4.7,2.0444620613469e-06
4.713,2.0649066819603e-06
4.725,2.1466851644142e-06
4.738,2.1671297850277e-06
4.75,2.1875744056411e-06
4.775,2.269352888095e-06
4.787,2.3715759911624e-06
4.788,2.4533544736162e-06
4.8,2.5964668179105e-06
4.813,2.616911438524e-06
4.825,2.7395791622048e-06
4.837,2.7804684034317e-06
4.838,2.9031361271125e-06
4.85,3.1484715744742e-06
4.862,3.230250056928e-06
4.863,3.3120285393819e-06
4.875,3.3324731599954e-06
4.887,3.3529177806089e-06
4.9,3.4755855042897e-06
4.912,3.5164747455166e-06
4.913,3.618697848584e-06
4.925,3.7618101928782e-06
4.937,3.8026994341052e-06
4.938,3.884477916559e-06
4.95,3.9867010196264e-06
4.962,4.0889241226937e-06
4.963,4.1502579845341e-06
4.975,4.3138149494419e-06
4.987,4.3751488112823e-06
4.988,4.4773719143496e-06
5,4.6409288792574e-06
5.013,4.6613734998709e-06
5.025,4.7840412235517e-06
5.037,4.8044858441651e-06
5.05,4.8249304647786e-06
5.062,4.8453750853921e-06
5.063,4.886264326619e-06
5.075,5.0293766709133e-06
5.087,5.1315997739806e-06
5.088,5.192933635821e-06
5.1,5.2747121182749e-06
5.112,5.2951567388884e-06
5.113,5.3156013595018e-06
5.125,5.3564906007288e-06
5.138,5.3769352213423e-06
5.15,5.4587137037961e-06
5.162,5.4996029450231e-06
5.163,5.5813814274769e-06
5.175,5.6427152893173e-06
5.187,5.6836045305443e-06
5.188,5.7040491511578e-06
5.225,5.888050736679e-06
5.238,5.9084953572924e-06
5.25,6.2356092871079e-06
5.262,6.3378323901753e-06
5.263,6.3787216314022e-06
5.275,6.54227859631e-06
5.287,6.5831678375369e-06
5.288,6.6649463199908e-06
5.3,6.7876140436716e-06
5.312,6.848947905512e-06
5.313,6.9307263879659e-06
5.325,7.2169510765544e-06
5.337,7.3191741796218e-06
5.338,7.3805080414622e-06
5.35,7.6462881094373e-06
5.362,7.6871773506642e-06
5.363,7.7689558331181e-06
5.375,7.9734020392528e-06
5.387,8.0960697629336e-06
5.388,8.2391821072279e-06
5.4,8.3822944515221e-06
5.412,8.6071852782703e-06
5.413,8.770742243178e-06
5.425,9.2000792760609e-06
5.437,9.4454147234225e-06
5.438,9.7111947913976e-06
5.45,9.9360856181458e-06
5.462,1.0058753341827e-05
5.463,1.0160976444894e-05
5.475,1.0467645754096e-05
5.487,1.0590313477777e-05
5.488,1.0712981201458e-05
5.5,1.0774315063298e-05
5.512,1.0876538166365e-05
5.513,1.0958316648819e-05
5.525,1.1224096716794e-05
5.537,1.1346764440475e-05
5.538,1.1489876784769e-05
5.55,1.1776101473358e-05
5.562,1.1857879955812e-05
