lat,cdf
4.15,2.9920182527475e-08
4.163,5.984036505495e-08
4.188,8.9760547582425e-08
4.213,1.196807301099e-07
4.225,2.0944127769233e-07
4.238,2.6928164274728e-07
4.25,2.9920182527475e-07
4.275,3.2912200780223e-07
4.276,4.1888255538465e-07
4.288,4.787229204396e-07
4.3,5.3856328549455e-07
4.301,5.984036505495e-07
4.313,6.5824401560445e-07
4.325,6.8816419813193e-07
4.338,7.4800456318688e-07
4.351,7.7792474571435e-07
4.363,8.377651107693e-07
4.375,8.6768529329678e-07
4.376,8.9760547582425e-07
4.4,9.2752565835173e-07
4.413,1.0771265709891e-06
4.425,1.1070467535166e-06
4.426,1.1369669360441e-06
4.438,1.196807301099e-06
4.45,1.256647666154e-06
4.451,1.3464082137364e-06
4.463,1.4660889438463e-06
4.475,1.5857696739562e-06
4.476,1.6456100390111e-06
4.488,1.8849714992309e-06
4.5,1.9747320468134e-06
4.501,2.1841733245057e-06
4.513,2.5432155148354e-06
4.525,2.6928164274728e-06
4.526,2.8723375226376e-06
4.538,3.1116989828574e-06
4.55,3.4408209906596e-06
4.551,3.650262268352e-06
4.563,4.158905371319e-06
4.575,4.6675484742861e-06
4.576,5.1462713947257e-06
4.588,6.04387687055e-06
4.6,6.5225997909896e-06
4.601,7.0910832590116e-06
4.613,9.1256556708799e-06
4.625,1.0023261146704e-05
4.626,1.1130307900221e-05
4.638,1.3823124327693e-05
4.65,1.5349053636595e-05
4.651,1.7234025135826e-05
4.663,2.1662212149892e-05
4.675,2.4594390037585e-05
4.676,2.7765929385497e-05
4.688,3.4557810819234e-05
4.7,3.7759270349674e-05
4.701,4.206777663363e-05
4.713,5.119343230451e-05
4.725,5.6728666072093e-05
4.726,6.2263899839676e-05
4.738,7.4979977413853e-05
4.75,8.1771858847589e-05
4.751,8.9251904479458e-05
4.763,0.00010732369472605
4.775,0.00011956104937979
4.776,0.00013006303344693
4.788,0.00015863680776067
4.8,0.00017416538249243
4.801,0.00019139940762826
4.813,0.00023496319338826
4.825,0.00026254960167859
