lat,cdf
3.812,8.2649573412492e-08
3.824,5.7854701388744e-07
3.825,6.6119658729993e-07
3.837,8.2649573412492e-07
3.849,1.1570940277749e-06
3.85,1.8182906150748e-06
3.862,4.2977778174496e-06
3.874,7.1078633134743e-06
3.875,9.752649662674e-06
3.887,1.6529914682498e-05
3.899,2.2067436101135e-05
3.9,2.6778461785647e-05
3.912,3.7605555902684e-05
3.924,4.5044017509808e-05
3.925,5.074683807527e-05
3.937,6.1739231339131e-05
3.949,6.9756239960143e-05
3.95,7.7112051993855e-05
3.962,0.00012645384732111
3.974,0.00024381624156685
3.975,0.00035869914861021
3.987,0.0012677618065742
3.999,0.0027647935297947
4,0.0042579407230648
4.012,0.012172215924325
4.024,0.021150604383271
4.025,0.030138001645718
4.037,0.063261057934376
4.049,0.08754507294486
4.05,0.11187231368224
4.062,0.17235353586446
4.074,0.20642970703371
4.075,0.2404414115357
4.087,0.31220115980493
4.099,0.34832348646316
4.1,0.38446837645492
4.112,0.45504251659355
4.124,0.48855600946701
4.125,0.52209933883647
4.137,0.58529973198396
4.149,0.6143773396028
4.15,0.64345453397377
4.162,0.69670416643112
4.174,0.72090759810752
4.175,0.74510590551038
4.187,0.78886868933315
4.199,0.80858755515619
4.2,0.8282912961073
4.212,0.8639726046418
4.224,0.87978222829201
4.225,0.89560011689956
4.237,0.92244990526706
4.249,0.93321997117844
4.25,0.94401103008147
4.262,0.96029002065909
4.274,0.9660968143879
4.275,0.97192798974087
4.287,0.97976192955678
4.299,0.98233001710185
4.3,0.98489570780929
4.312,0.98830582920829
4.324,0.98942730126993
4.325,0.99055224461364
4.337,0.99207208761913
4.349,0.99260807010271
4.35,0.99313702737255
4.362,0.99395748968781
4.374,0.99428569114383
4.375,0.99461099986479
4.387,0.99514351106628
4.399,0.99535724286313
4.4,0.99556527183941
4.412,0.99591818551788
4.424,0.99606282227135
4.425,0.99620886406757
4.437,0.99647631808713
4.449,0.99657673731883
4.45,0.99667294142228
4.462,0.99680757757737
4.474,0.99684443928711
4.475,0.99688344988576
4.487,0.99693775065549
4.499,0.99696411586941
4.5,0.99699064638248
4.512,0.99704742663941
4.524,0.9970729653576
4.525,0.99709759493047
4.537,0.99714082065737
4.549,0.99716131775157
4.55,0.99718355048682
4.562,0.99722801595732
4.574,0.99724876100024
4.575,0.99726735715426
4.587,0.99729636715453
4.599,0.99730934313756
4.6,0.99732422006077
4.612,0.99736058587307
4.624,0.99737934732624
4.625,0.99739653843751
4.637,0.99743579698488
4.649,0.99745216160041
4.65,0.99746811296808
4.662,0.99749381698541
4.674,0.99750588382313
4.675,0.99751671091725
4.687,0.99754613416538
4.699,0.99756158963561
4.7,0.99757539211437
4.712,0.9976079560463
4.724,0.99762465126013
4.725,0.99764068527737
4.737,0.99767837348284
4.749,0.99770168066255
4.75,0.99772523579097
4.762,0.99777507348374
4.774,0.99780234784296
4.775,0.99783127519366
4.787,0.99788408827107
4.799,0.99790739545077
4.8,0.99793078528004
4.812,0.9979722753659
4.824,0.99798921852845
4.825,0.9980086411782
4.837,0.99804112246055
4.849,0.99805814827267
4.85,0.99807476083693
4.862,0.99810691152099
4.874,0.9981230281878
4.875,0.99813914485462
4.887,0.99816922929934
4.899,0.99818542861573
4.9,0.99820204117998
4.912,0.99823336536831
4.924,0.99825138297531
4.925,0.99826898733445
4.937,0.99829733613813
4.949,0.99831361810409
4.95,0.99832956947176
4.962,0.99835800092501
4.974,0.99837180340377
4.975,0.99838519263467
4.987,0.99840891306224
4.999,0.99841974015635
5,0.99843056725047
5.012,0.99844957665236
5.024,0.99845817220799
5.025,0.99846610656704
5.037,0.99848511596892
5.049,0.99849552981517
5.05,0.99850701810588
5.062,0.99852784579838
5.074,0.99854222682415
5.075,0.99855495485846
5.087,0.99857801408944
5.099,0.99858710554251
5.1,0.99859718879047
5.112,0.9986114045171
5.124,0.99861743793596
5.125,0.99862330605567
5.137,0.99863743913272
5.149,0.99864537349177
5.15,0.99865372109868
5.162,0.99866942451763
5.174,0.99867768947497
