lat,cdf
3,7.1117011189076e-07
4,0.86552448795752
5,0.99051844301157
6,0.9969320121373
7,0.99764673809975
8,0.99792978380429
9,0.9981820121373
10,0.99845462734686
11,0.99867011189076
12,0.99892494784753
13,0.99919294045136
14,0.99944825052152
15,0.99967333586194
16,0.99988159017637
17,0.99997072349706
18,0.9999879101081
19,0.99999170301536
20,0.99999336241229
21,0.9999943106391
22,0.99999549592262
23,0.99999632562109
24,0.99999691826285
25,0.9999972738479
26,0.99999774796131
28,0.99999798501802
29,0.99999845913142
32,0.99999893324483
36,0.99999952588659
40,0.99999964441494
44,0.9999999
